Task ID,Task Name,tags,Przeznaczenie (drop down),Klawiatura (labels),Obudowa (labels),Procesor (drop down),Model Procesora (short text),Grafika (short text),RAM (drop down),Dysk (drop down),Rozdzielczość (drop down),Matryca (labels),Problemy (labels),Uwagi (text),Regał (drop down),Lists,Zamówienie (short text)
86bz4ptqe,71KQYW2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Bez wad],[Bateria brak],,,[Mix - przed 11.2023],
86bz4puqv,8CCQYW2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Mikro poświatka],[Bateria brak],,,[Mix - przed 11.2023],
86bz4pyhy,8P7QYW2,[dell latitude 7390],Serwis,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Zbita],[Bateria brak],,,[Mix - przed 11.2023],
86bz4q6aj,8p0yqv2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,4,BRAK,1920 x 1080,[Zwykłe ryski / otarcia],[Bateria brak],,,[Mix - przed 11.2023],
86bz4q9k9,4540nq2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,BRAK,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz4qc17,hf0ryw2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, QWERTY PL, Podświetlana]",[Ok],i5,8350U,,8,256,1920 x 1080,[Mikro poświatka],[],,,[Mix - przed 11.2023],
86bz4qpxk,ck502x2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,16,BRAK,1920 x 1080,[Mikro otarcia],[Bateria brak],,,[Mix - przed 11.2023],
86bz4rm7w,hksz2x2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz4ruj7,F9BP5S2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,BRAK,1920 x 1080,[Bez wad],[Klapa X],,,[Mix - przed 11.2023],
86bz4t5dz,H8SN5S2,[dell latitude 7390],Serwis,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,,,[Zbita],[],,,[Mix - przed 11.2023],
86bz4tmu6,F3JP5S2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Wielka rysa / rysy],[],,,[Mix - przed 11.2023],
86bz4tr3q,DPNZQV2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[],[Touchpad],"brak klawisza touchpada
",,[Mix - przed 11.2023],
86bz4upfb,J0KQYW2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz4uwth,3zjqyw2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,16,BRAK,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz4uz67,dq60rv2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Bez wad],[Bateria brak],,,[Mix - przed 11.2023],
86bz4v42b,5mnlrq2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Brytyjska, Podświetlana]",[Ok],i5,8350U,,8,256,1920 x 1080,"[Dotyk, Bez wad]",[],,,[Mix - przed 11.2023],
86bz4v9dy,6c8qyw2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Brytyjska, Podświetlana]",[Ok],i5,8350U,,16,512,1920 x 1080,[Bez wad],[Bateria bios],,,[Mix - przed 11.2023],
86bz4vgp3,6cwk7y2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Wielka rysa / rysy],[],,,[Mix - przed 11.2023],
86bz4vrda,bl8qyw2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Brytyjska, Podświetlana]",[Ok],i5,8350U,,8,BRAK,1920 x 1080,[Bez wad],[Bateria brak],,,[Mix - przed 11.2023],
86bz4w3x5,d4yvst2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],[],,,[Mix - przed 11.2023],
86bz4wf85,f8ffrv2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],[],,,[Mix - przed 11.2023],
86bz4wgbm,csmfjr2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],[],,,[Mix - przed 11.2023],
86bz4wjdv,GWMFJR2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],[],,,[Mix - przed 11.2023],
86bz4wk3b,4wtjjr2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],[],,,[Mix - przed 11.2023],
86bz4wm48,jpj6mq2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],[],,,[Mix - przed 11.2023],
86bz5aam8,3kjfqv2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana]",[Ok],i5,8350U,,8,256,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz5aay3,C9XGJR2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz5ab92,1jr6xt2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz5adku,9qpk7y2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz5ae4f,1rkvst2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz5aecy,jwtjjr2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz5aeqf,8gjfqv2,[dell latitude 7390],Przyjęcie,"[Krótki Enter ANSI / US, QWERTY PL, Podświetlana]",[Ok],i5,8350U,,8,256,1920 x 1080,[Wielka rysa / rysy],[],,,[Mix - przed 11.2023],
86bz5ag0n,bj0kjr2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Bez wad],[Bateria bios],,,[Mix - przed 11.2023],
86bz5aghu,D6YVST2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz5agw0,cx2jtt21,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz5ahr0,dqxmtt2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],[],,,[Mix - przed 11.2023],
86bz5fdmy,43vzqv2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",,i5,8350U,,8,256,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz5fgc8,714HRQ2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",,i7,8650U,,8,256,1920 x 1080,"[Dotyk, Mikro otarcia]",[Ramka Matrycy],"DOTYK NIE DZIALA
",,[Mix - przed 11.2023],
86bz5fpa6,6J27NF2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Malowana QWERTY PL]",,i7,8650U,,8,256,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz5fucn,21KL8S2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",,i7,8650U,,16,512,1920 x 1080,[Bez wad],[Bateria bios],,,[Mix - przed 11.2023],
86bz5g27w,b7tjrq2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",,i7,8650U,,4,512,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz5gckb,J172RQ2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",,i7,8650U,,8,BRAK,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz5ge26,7879NF2,[dell latitude 7390],Przyjęcie,[Pionowy Enter ISO / EU],,i7,8650U,,8,256,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz5gh1c,17n3zw2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",,i7,8650U,,8,256,1920 x 1080,[Bez wad],[Bateria bios],,,[Mix - przed 11.2023],
86bz5gjka,dc79nf2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",,i7,8650U,,8,256,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz5gnnc,6hn3zw2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",,i7,8650U,,8,256,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz5gq30,3q9x5y2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",,i7,8650U,,8,BRAK,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz5gt50,h58gvt2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",,i7,8650U,,8,256,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz5gued,945x5y2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",,i7,8650U,,8,256,1920 x 1080,"[Zwykłe ryski / otarcia, Zwykłe poświatki]",[],,,[Mix - przed 11.2023],
86bz5gvtu,25p3zw2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",,i7,8650U,,8,256,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz5gxep,4609rq2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",,i7,8650U,,8,512,1920 x 1080,[Mikro otarcia],[],,,[Mix - przed 11.2023],
86bz5h077,6gn3zw2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",,i7,8650U,,8,256,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz5h2wx,6g12rq2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",,i7,8650U,,8,BRAK,1920 x 1080,[Bez wad],[],,,[Mix - przed 11.2023],
86bz5h45u,CKB6NF2,[dell latitude 7390],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",,i7,8650U,,8,BRAK,1920 x 1080,[Zwykłe ryski / otarcia],[],,,[Mix - przed 11.2023],
86bz66arw,j8plrq2,[dell latitude 7390],Serwis,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,,,,,,[],[Nie włącza się],"ŚWIECI DIODA BIALA
",,[Mix - przed 11.2023],
86bwkyztn,JLDR5S2,[dell latitude 7390 2-in-1],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8250U,,8,256,1920 x 1080,"[Dotyk, Bez wad]",,"JLDR5S2
",,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwkzken,FDDR5S2,[dell latitude 7390 2-in-1],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Uszczerbek],i5,8250U,,8,256,1920 x 1080,"[Wszędzie otarcia, Dotyk]","[Klapa X, Bateria bios]",,,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwm0k1k,GQ8W5S2,[dell latitude 7390 2-in-1],Serwis,"[Pionowy Enter ISO / EU, Francuska]",,,,,,,,,[Nie włącza się],,,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bz6h8zz,CR7YTN2,[dell latitude 7390 2-in-1],Przyjęcie,"[Krótki Enter ANSI / US, QWERTY PL, Podświetlana]",[Ok],i5,8350U,,16,BRAK,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",[Bateria X],,,[02.2024 USA],
86bz6h9nk,d6yvlq2,[dell latitude 7390 2-in-1],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",[Bateria brak],,,[02.2024 USA],
86bz6hfmj,2yybqv2,[dell latitude 7390 2-in-1],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8350U,,8,BRAK,1920 x 1080,"[Wielkie poświaty, Zwykłe ryski / otarcia, Dotyk]",[Bateria brak],,,[02.2024 USA],
86c220cm8,9L09RQ2,[dell latitude 7390 2-in-1],Przyjęcie,,,i5,8250U,,8,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,,,[2025.02.05 - IVC],
86c220g4v,fsm4wt2,[dell latitude 7390 2-in-1],Przyjęcie,,,i5,8250U,,8,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,,,[2025.02.05 - IVC],
86c220hqp,dhl6nf2,[dell latitude 7390 2-in-1],Przyjęcie,,,i5,8250U,,8,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,,,[2025.02.05 - IVC],
86c220tyr,G0198B,[dell latitude 7390 2-in-1],Przyjęcie,,,i5,8250U,,8,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,,,[2025.02.05 - IVC],
86c1y4ykc,j4p7zw2,[dell latitude 7400],Przyjęcie,[QWERTY PL],,i5,8265U,,8,256,1920 x 1080,[Bez wad],"[Spód X, Bateria brak, Klapa X]",,,[2025.01. 23- USA],
86c1y50pt,552V8Y2,[dell latitude 7400],Przyjęcie,[QWERTY PL],,i5,8265U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],"[Spód X, Bateria brak, Klapa X]",,,[2025.01. 23- USA],
86c1y42g6,1hnv433,[dell latitude 7400 2in1],Przyjęcie,[QWERTY PL],,i7,8665U,,16,BRAK,1920 x 1080,"[Wszędzie otarcia, Dotyk]",[Bateria brak],,,[2025.01. 23- USA],
86c1y470d,gbqyn13,[dell latitude 7400 2in1],Serwis,[QWERTY PL],,i5,8265U,,8,,,[Dotyk],"[Zawiasy , Touchpad, Ramka Matrycy]",,,[2025.01. 23- USA],
86c1xdqjg,C2YZN73,[dell latitude 7410],Serwis,[QWERTY PL],,i7,10610u,intel,16,BRAK,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]","[Bateria brak, Bateria bios, Hasło Bios]",,,[mix starych dostaw na nowej hali],
86c1xdtzz,31FXN73,[dell latitude 7410],Serwis,[QWERTY PL],,i7,10610u,intel,16,BRAK,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]","[Bateria brak, Bateria bios, Hasło Bios]",,,[mix starych dostaw na nowej hali],
86c1xdugh,BMLFN73,[dell latitude 7410],Serwis,[QWERTY PL],,i7,10610u,intel,16,,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]","[Bateria brak, Bateria bios, Hasło Bios]",,,[mix starych dostaw na nowej hali],
86c1xdup7,231ZN73,[dell latitude 7410],Serwis,[QWERTY PL],,i7,10610u,intel,16,BRAK,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]","[Bateria brak, Bateria bios, Hasło Bios]",,,[mix starych dostaw na nowej hali],
86c1xdwq6,9skgn73,[dell latitude 7410],Przyjęcie,[QWERTY PL],,i7,10610u,intel,16,BRAK,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]","[Bateria brak, Bateria bios, Hasło Bios]",,,[mix starych dostaw na nowej hali],
86c1xdwuj,HLSYN73,[dell latitude 7410],Serwis,[QWERTY PL],,i7,10610u,intel,16,BRAK,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]","[Bateria brak, Bateria bios, Hasło Bios]",,,[mix starych dostaw na nowej hali],
86c1xdxcd,216SN73,[dell latitude 7410],Serwis,[QWERTY PL],,i7,10610u,intel,16,BRAK,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]","[Bateria brak, Bateria bios, Palmrest, Hasło Bios]",,,[mix starych dostaw na nowej hali],
86c1xdxfc,G0VQN73,[dell latitude 7410],Serwis,[QWERTY PL],,i7,10610u,intel,16,BRAK,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]","[Bateria brak, Bateria bios, Hasło Bios]",,,[mix starych dostaw na nowej hali],
86c1xdxk6,HWFFN73,[dell latitude 7410],Serwis,[QWERTY PL],,i7,10610U,INTEL,16,BRAK,1920 x 1080,[Zwykłe ryski / otarcia],"[Bateria brak, Bateria bios, Hasło Bios]",,,[mix starych dostaw na nowej hali],
86c1xdxrx,5RDXN73,[dell latitude 7410],Serwis,[QWERTY PL],,i7,10610U,INTEL,16,BRAK,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]","[Bateria brak, Bateria bios, Hasło Bios]",,,[mix starych dostaw na nowej hali],
86c1xdxxv,GBWPN73,[dell latitude 7410],Serwis,[QWERTY PL],,i7,10610u,intel,16,BRAK,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]","[Bateria bios, Hasło Bios]",,,[mix starych dostaw na nowej hali],
86c1xdy4j,975QN73,[dell latitude 7410],Serwis,[QWERTY PL],,i7,10610u,Intel,16,BRAK,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]","[Bateria brak, Bateria bios, Hasło Bios]",,,[mix starych dostaw na nowej hali],
86c1xxntz,jz9pn73,[dell latitude 7410],Serwis,[QWERTY PL],,i7,10610U,,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",[Hasło Bios],,,[2025.01. 23- USA],
86c1xxrnn,f2wxn73,[dell latitude 7410],Serwis,[QWERTY PL],,i7,10610U,,16,BRAK,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]","[Bateria brak, Zawiasy , Bateria bios, Palmrest, Hasło Bios]",,,[2025.01. 23- USA],
86c1xy75e,9zbsn73,[dell latitude 7410],Przyjęcie,[QWERTY PL],,i7,10610U,,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",[],,,[2025.01. 23- USA],
86c1xy7w3,dvpzn73,[dell latitude 7410],Przyjęcie,[QWERTY PL],,i7,10610U,,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",[],,,[2025.01. 23- USA],
86c1xy8hh,jmfpn73,[dell latitude 7410],Przyjęcie,[QWERTY PL],,i7,10610U,,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",[],,,[2025.01. 23- USA],
86c1xyc67,71pqn73,[dell latitude 7410],Serwis,[QWERTY PL],,i7,,,,,,[Zbita],"[Spód X, Palmrest, Nie włącza się]",,,[2025.01. 23- USA],
86c1xyddt,8dgzn73,[dell latitude 7410],Przyjęcie,[QWERTY PL],,i7,10610U,,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",[],,,[2025.01. 23- USA],
86c1xyg2d,264zn73,[dell latitude 7410],Przyjęcie,[QWERTY PL],,i7,10610U,,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",[],,,[2025.01. 23- USA],
86c1xyj9m,frdxn73,[dell latitude 7410],Przyjęcie,[QWERTY PL],,i7,10610U,,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",[],,,[2025.01. 23- USA],
86c1xykpt,2dbdn73,[dell latitude 7410],Przyjęcie,[QWERTY PL],,i7,10610U,,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",[],,,[2025.01. 23- USA],
86c1xymnh,ftbsn73,[dell latitude 7410],Przyjęcie,[QWERTY PL],,i7,10610U,,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",[],,,[2025.01. 23- USA],
86c1xyt9r,jmtzn73,[dell latitude 7410],Przyjęcie,[QWERTY PL],,i7,10610U,,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",[],,,[2025.01. 23- USA],
86c1xyvvh,h77zn73,[dell latitude 7410],Przyjęcie,[QWERTY PL],,i7,10610U,,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",[],,,[2025.01. 23- USA],
86c1xz0vf,166sn731,[dell latitude 7410],Przyjęcie,[QWERTY PL],,i7,10610U,,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",[],,,[2025.01. 23- USA],
86c1xz23p,b81yn73,[dell latitude 7410],Przyjęcie,[QWERTY PL],,i7,10610U,,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",[],,,[2025.01. 23- USA],
86c1xz2r1,6rf4593,[dell latitude 7410],Przyjęcie,[QWERTY PL],,i7,10610U,,16,512,1920 x 1080,"[Zwykłe ryski / otarcia, Mikro poświatka]",[],,,[2025.01. 23- USA],
86c1xz6jj,cgjzn73,[dell latitude 7410],Przyjęcie,[QWERTY PL],,i7,10610U,,16,512,1920 x 1080,"[Zwykłe ryski / otarcia, Mikro poświatka]",[],,,[2025.01. 23- USA],
86c1y0jxb,3zkzn73,[dell latitude 7410],Przyjęcie,[QWERTY PL],,i7,10610U,,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",[],,,[2025.01. 23- USA],
86c1y0mw4,bnfpn73,[dell latitude 7410],Przyjęcie,[QWERTY PL],,i7,10610U,,16,BRAK,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]","[Bateria brak, Bateria bios]",,,[2025.01. 23- USA],
86c1y8jua,hdv89c3,[dell latitude 7410],Przyjęcie,,,i7,10610U,,16,256,1920 x 1080,[Zwykłe ryski / otarcia],,,,[2025.01.30 - TES],
86c1y8ujz,hw099c3,[dell latitude 7410],Przyjęcie,,,i7,10610U,,16,256,1920 x 1080,[Zwykłe ryski / otarcia],,,,[2025.01.30 - TES],
86c1y8uwv,b072573,[dell latitude 7410],Przyjęcie,,,i7,10610U,,16,256,1920 x 1080,[Zwykłe ryski / otarcia],,,,[2025.01.30 - TES],
86c1y90j4,fw099c3,[dell latitude 7410],Przyjęcie,,,i7,10610U,,16,256,1920 x 1080,[Zwykłe ryski / otarcia],,,,[2025.01.30 - TES],
86c1y930w,jzd2573,[dell latitude 7410],Przyjęcie,,,i7,10610U,,16,256,1920 x 1080,[Zwykłe ryski / otarcia],[Palmrest],,,[2025.01.30 - TES],
86c1y94u5,2wl2573,[dell latitude 7410],Przyjęcie,[QWERTY PL],,i7,10610U,,16,256,1920 x 1080,[Zwykłe ryski / otarcia],,,,[2025.01.30 - TES],
86c1y96j1,fjn0573,[dell latitude 7410],Przyjęcie,,,i7,10610U,,16,256,1920 x 1080,[Zwykłe ryski / otarcia],,,,[2025.01.30 - TES],
86c1y9pba,fjdk493,[dell latitude 7410],Przyjęcie,[Francuska],,i5,10310U,INTEL,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,"SREBRNE
",,[2025.01.30 - TES],
86c1y9qrw,9jyk493,[dell latitude 7410],Przyjęcie,[Francuska],,i5,10310U,INTEL,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,"SREBRNE
",,[2025.01.30 - TES],
86c1y9xaa,5gdk493,[dell latitude 7410],Przyjęcie,[Francuska],,i5,10310U,INTEL,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,"SREBRNE
",,[2025.01.30 - TES],
86c1yaamb,14SL493,[dell latitude 7410],Przyjęcie,[Francuska],,i5,10310U,INTEL,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,"SREBRNE
",,[2025.01.30 - TES],
86c1yadxc,6QYK493,[dell latitude 7410],Przyjęcie,[Francuska],,i5,10310U,INTEL,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,"SREBRNE
",,[2025.01.30 - TES],
86c1yahhf,HCDK493,[dell latitude 7410],Przyjęcie,[Francuska],,i5,10310U,INTEL,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,"SREBRNE
",,[2025.01.30 - TES],
86c1yak63,83LK493,[dell latitude 7410],Przyjęcie,[Francuska],,i5,10310U,INTEL,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,"SREBRNE
",,[2025.01.30 - TES],
86c1yakxb,4N46L63,[dell latitude 7410],Przyjęcie,[Francuska],,i5,10310U,INTEL,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,"SREBRNE
",,[2025.01.30 - TES],
86c1yamvr,H6SL493,[dell latitude 7410],Przyjęcie,[Francuska],,i5,10310U,INTEL,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,"SREBRNE
",,[2025.01.30 - TES],
86c1yaq1f,8JLL493,[dell latitude 7410],Przyjęcie,[Francuska],,i5,10310U,INTEL,16,256,1920 x 1080,[Dotyk],,"SREBRNE
",,[2025.01.30 - TES],
86c1yaqyr,1NT6L63,[dell latitude 7410],Przyjęcie,[Francuska],,i5,10310U,INTEL,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,"SREBRNE
",,[2025.01.30 - TES],
86c1yarx2,3565L63,[dell latitude 7410],Przyjęcie,[Francuska],,i5,10310U,INTEL,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,"SREBRNE
",,[2025.01.30 - TES],
86c1yatf1,CKDK493,[dell latitude 7410],Przyjęcie,[Francuska],,i5,10310U,INTEL,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,"SREBRNE
",,[2025.01.30 - TES],
86c1yqkag,1BZ5L63,[dell latitude 7410],Przyjęcie,[Francuska],,i5,10310U,INTEL,16,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,"SREBRNE
",,[2025.01.30 - TES],
